epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,764.933,3.323,4.21309,3.24162,0.00462,0.41259,0.01566,0.00539,2.97963,4.20474,3.0829,0.00033287,0.00033287,0.00033287
2,1516.94,2.67193,3.96584,2.82379,0.89975,0.06093,0.07448,0.02954,2.79097,3.91777,2.92795,0.00060025,0.00060025,0.00060025
3,2269.07,2.50976,3.77082,2.70121,0.54305,0.09917,0.04277,0.01385,2.63106,4.08677,2.81454,0.000801629,0.000801629,0.000801629
4,3035.59,2.43488,3.66809,2.63526,0.58728,0.1038,0.08002,0.02887,2.47074,3.5055,2.6737,0.000703,0.000703,0.000703
5,3794,2.36011,3.54228,2.56925,0.33053,0.20146,0.16999,0.06437,2.38351,3.26086,2.7284,0.000604,0.000604,0.000604
6,4571.77,2.28543,3.45568,2.5053,0.69266,0.14967,0.18338,0.06848,2.29463,3.54753,2.63494,0.000505,0.000505,0.000505
7,5351.62,2.22233,3.36607,2.43309,0.33345,0.33862,0.20662,0.07985,2.2111,4.29863,2.52956,0.000406,0.000406,0.000406
8,6108.08,2.18541,3.26129,2.39307,0.34019,0.33106,0.2192,0.08302,2.1755,3.94794,2.5195,0.000307,0.000307,0.000307
9,6877.06,2.12913,3.20856,2.35917,0.37358,0.30738,0.22697,0.08964,2.15156,3.73352,2.46651,0.000208,0.000208,0.000208
10,7655.85,2.10202,3.13681,2.32351,0.32251,0.36675,0.22392,0.0917,2.14728,4.58742,2.41087,0.000109,0.000109,0.000109
