epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,566.357,1.66743,2.33903,1.82757,0.51024,0.38684,0.41019,0.16522,1.99437,2.27231,2.18516,0.000604,0.000604,0.000604
22,592.948,1.64388,2.31572,1.8111,0.5554,0.35465,0.41545,0.1722,1.96107,2.2954,2.2273,0.0005842,0.0005842,0.0005842
23,619.821,1.64913,2.33098,1.81657,0.45967,0.4036,0.41401,0.16721,2.09393,2.28581,2.30889,0.0005644,0.0005644,0.0005644
24,646.246,1.65102,2.31394,1.81622,0.43716,0.42855,0.41249,0.17297,1.9787,2.2119,2.19769,0.0005446,0.0005446,0.0005446
25,673.212,1.6348,2.29621,1.81151,0.47156,0.45353,0.45215,0.18642,1.97088,2.12761,2.24492,0.0005248,0.0005248,0.0005248
26,700.258,1.6095,2.26814,1.79087,0.43215,0.47712,0.41874,0.16182,1.9827,2.24696,2.22046,0.000505,0.000505,0.000505
27,727.189,1.62,2.29023,1.79307,0.47285,0.40272,0.39925,0.16009,1.98916,2.23308,2.20078,0.0004852,0.0004852,0.0004852
28,753.84,1.62662,2.2809,1.79965,0.44847,0.47825,0.45078,0.18143,1.93778,2.15864,2.16004,0.0004654,0.0004654,0.0004654
29,780.563,1.59893,2.25205,1.78111,0.51264,0.40171,0.43111,0.18047,1.93293,2.13191,2.13075,0.0004456,0.0004456,0.0004456
30,806.918,1.60633,2.2665,1.79095,0.44106,0.44139,0.43232,0.17825,1.94321,2.1635,2.13239,0.0004258,0.0004258,0.0004258
31,833.644,1.57115,2.21618,1.7599,0.43528,0.45681,0.41839,0.17062,1.98594,2.17146,2.20737,0.000406,0.000406,0.000406
32,860.522,1.59331,2.24618,1.77617,0.4742,0.4449,0.43849,0.18327,1.92596,2.15851,2.16822,0.0003862,0.0003862,0.0003862
33,887.009,1.54595,2.16863,1.74721,0.42254,0.41422,0.41956,0.17548,1.94702,2.21465,2.22098,0.0003664,0.0003664,0.0003664
34,913.168,1.57677,2.1836,1.75759,0.47805,0.44876,0.42935,0.18268,1.95972,2.14122,2.17928,0.0003466,0.0003466,0.0003466
35,940.112,1.57817,2.17384,1.75929,0.42439,0.44649,0.41317,0.17895,1.90669,2.15741,2.12993,0.0003268,0.0003268,0.0003268
36,966.362,1.55932,2.17995,1.75564,0.46769,0.46253,0.44849,0.18496,1.93714,2.12799,2.16246,0.000307,0.000307,0.000307
37,992.618,1.53609,2.15086,1.73571,0.47283,0.46401,0.44737,0.19193,1.92469,2.10754,2.16693,0.0002872,0.0002872,0.0002872
38,1018.93,1.56022,2.19097,1.75732,0.47014,0.44104,0.44267,0.19482,1.92635,2.16284,2.17377,0.0002674,0.0002674,0.0002674
39,1045.72,1.5612,2.1716,1.74564,0.44548,0.44826,0.43488,0.18758,1.92736,2.16091,2.13391,0.0002476,0.0002476,0.0002476
40,1072.27,1.52291,2.11413,1.72597,0.5121,0.45619,0.4483,0.19474,1.92331,2.07619,2.15058,0.0002278,0.0002278,0.0002278
41,1100.08,1.70967,2.31414,1.91793,0.50609,0.46862,0.46742,0.20133,1.91314,2.03711,2.13191,0.000208,0.000208,0.000208
42,1125.14,1.66685,2.23806,1.88594,0.41456,0.47998,0.44408,0.19452,1.91766,2.08228,2.13007,0.0001882,0.0001882,0.0001882
43,1150.43,1.63836,2.2057,1.87317,0.49735,0.46208,0.46064,0.19673,1.91273,2.05433,2.1122,0.0001684,0.0001684,0.0001684
44,1175.6,1.62711,2.18642,1.85952,0.48115,0.4589,0.4472,0.19114,1.9145,2.06433,2.13211,0.0001486,0.0001486,0.0001486
45,1200.95,1.62724,2.15597,1.85421,0.51033,0.46241,0.45021,0.19599,1.89234,2.02727,2.11203,0.0001288,0.0001288,0.0001288
46,1225.77,1.59406,2.14489,1.85132,0.49724,0.48102,0.46281,0.2017,1.90538,2.0498,2.12958,0.000109,0.000109,0.000109
47,1249.63,1.59043,2.13256,1.84761,0.50301,0.50031,0.46626,0.19934,1.89227,2.03554,2.13402,8.92e-05,8.92e-05,8.92e-05
48,1274.86,1.57265,2.11313,1.83454,0.51227,0.47093,0.45784,0.20105,1.88715,2.0302,2.11868,6.94e-05,6.94e-05,6.94e-05
49,1300.13,1.5743,2.11853,1.82443,0.49451,0.47101,0.45709,0.19945,1.8917,2.03541,2.11627,4.96e-05,4.96e-05,4.96e-05
50,1325.2,1.58312,2.11877,1.83246,0.52531,0.47326,0.46298,0.19976,1.9041,2.02371,2.13552,2.98e-05,2.98e-05,2.98e-05
