epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2223,2.02682,3.43663,2.09894,0.89758,0.06843,0.12716,0.05067,2.63187,3.28601,2.83911,0.00032963,0.00032963,0.00032963
2,57.6258,1.94343,2.94534,2.00628,0.13843,0.29251,0.16085,0.06015,2.47702,3.16576,2.58938,0.000649836,0.000649836,0.000649836
3,84.6686,1.89844,2.87634,1.99011,0.29348,0.29881,0.14956,0.05159,2.29574,3.01839,2.53507,0.000956843,0.000956843,0.000956843
4,111.316,1.89782,2.76753,2.01057,0.54498,0.13955,0.16105,0.05803,2.55073,3.20186,2.81788,0.0009406,0.0009406,0.0009406
5,138.115,1.8902,2.71394,1.99327,0.60303,0.2268,0.18279,0.07489,2.30087,3.04982,2.56166,0.0009208,0.0009208,0.0009208
6,165.063,1.84834,2.65661,1.97119,0.54108,0.21605,0.20863,0.07763,2.1905,2.71142,2.44107,0.000901,0.000901,0.000901
7,191.774,1.83638,2.69288,1.9834,0.2942,0.35289,0.24152,0.10046,2.31572,2.80611,2.55663,0.0008812,0.0008812,0.0008812
8,218.487,1.78955,2.55479,1.9313,0.63726,0.25018,0.28702,0.1097,2.13324,2.52762,2.3972,0.0008614,0.0008614,0.0008614
9,245.207,1.7705,2.54828,1.91502,0.36864,0.35278,0.27879,0.10729,2.21608,2.883,2.50924,0.0008416,0.0008416,0.0008416
10,272.066,1.77342,2.51753,1.90035,0.42016,0.37446,0.31011,0.11782,2.06819,2.52037,2.23737,0.0008218,0.0008218,0.0008218
11,298.816,1.75591,2.49281,1.88374,0.3726,0.39591,0.35052,0.13447,2.04195,2.3284,2.2628,0.000802,0.000802,0.000802
12,325.553,1.73476,2.44175,1.88848,0.54873,0.31596,0.35865,0.14256,2.02961,2.33245,2.25213,0.0007822,0.0007822,0.0007822
13,352.217,1.74727,2.48511,1.88624,0.52661,0.33387,0.34867,0.1423,2.05086,2.32752,2.22243,0.0007624,0.0007624,0.0007624
14,379.003,1.71823,2.41926,1.85465,0.34626,0.39717,0.32798,0.12086,2.16287,2.4926,2.34159,0.0007426,0.0007426,0.0007426
15,405.851,1.67551,2.36005,1.83619,0.4438,0.40727,0.40066,0.15729,2.00633,2.41301,2.22531,0.0007228,0.0007228,0.0007228
16,432.522,1.68521,2.39186,1.8413,0.70265,0.30405,0.37843,0.15877,2.02388,2.29345,2.18062,0.000703,0.000703,0.000703
17,459.532,1.70169,2.40471,1.8542,0.40644,0.47092,0.39785,0.15755,2.05238,2.36332,2.3184,0.0006832,0.0006832,0.0006832
18,486.013,1.65526,2.34157,1.82063,0.60018,0.33258,0.40117,0.15717,2.0553,2.29232,2.25717,0.0006634,0.0006634,0.0006634
19,512.94,1.69854,2.42284,1.8605,0.43363,0.45523,0.42342,0.17893,2.00364,2.2206,2.18389,0.0006436,0.0006436,0.0006436
20,539.847,1.6762,2.35873,1.83513,0.42972,0.44481,0.39019,0.15671,2.02037,2.32528,2.24812,0.0006238,0.0006238,0.0006238
