epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2106.34,1.60883,2.29005,1.88903,0.42718,0.43396,0.40303,0.15756,1.93339,2.31391,2.3934,0.0005941,0.0005941,0.0005941
43,2156.03,1.62736,2.35624,1.92198,0.38753,0.47172,0.43041,0.17016,1.8991,2.24582,2.34101,0.0005842,0.0005842,0.0005842
44,2207.1,1.61544,2.35066,1.91985,0.46266,0.45542,0.43243,0.17011,1.89513,2.24447,2.38689,0.0005743,0.0005743,0.0005743
45,2257.61,1.60597,2.30317,1.89361,0.4657,0.4463,0.42455,0.16177,1.93678,2.3049,2.46094,0.0005644,0.0005644,0.0005644
46,2307.24,1.58189,2.28608,1.88516,0.40453,0.44595,0.39421,0.1604,1.93058,2.33079,2.38675,0.0005545,0.0005545,0.0005545
47,2356.89,1.59257,2.32161,1.88977,0.41361,0.43228,0.38073,0.15616,1.876,2.31406,2.32867,0.0005446,0.0005446,0.0005446
48,2406.63,1.55611,2.25452,1.86916,0.43651,0.41622,0.38639,0.15472,1.95193,2.27258,2.44704,0.0005347,0.0005347,0.0005347
49,2454.62,1.58193,2.26445,1.88029,0.44149,0.45401,0.41119,0.16104,1.93793,2.24848,2.37465,0.0005248,0.0005248,0.0005248
50,2504.04,1.57867,2.26807,1.86492,0.45099,0.44256,0.40649,0.16788,1.90628,2.22702,2.36756,0.0005149,0.0005149,0.0005149
51,2552.34,1.59546,2.27061,1.86847,0.46993,0.42083,0.41659,0.16395,1.96481,2.29546,2.40033,0.000505,0.000505,0.000505
52,2602.03,1.55293,2.2282,1.84465,0.47938,0.43566,0.41989,0.16291,1.94962,2.20526,2.37386,0.0004951,0.0004951,0.0004951
